designation,ra,dec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
J101145.97+462819.4,152.9415478,46.4720580,15.785,0.056,19.5,1.633E+00,15.501,0.124,8.8,9.437E-01,12.604,null,0.7,9.011E-01,9.064,0.394,2.8,9.285E-01,15,16,4,16,0,16,0,16,null,null,null,null,null,null,null,5.756085,93.297682
J101143.92+462822.2,152.9330289,46.4728600,16.799,0.121,9.0,9.264E-01,15.993,0.192,5.6,9.350E-01,12.438,null,1.2,9.430E-01,8.659,null,1.6,9.940E-01,6,15,1,15,0,15,0,15,null,null,null,null,null,null,null,15.585680,279.441261
J101146.76+462830.2,152.9448368,46.4750626,17.399,0.188,5.8,8.586E-01,16.976,null,0.4,9.459E-01,12.856,null,0.2,1.074E+00,9.361,null,-1.2,8.565E-01,2,16,0,16,0,16,0,16,null,null,null,null,null,null,null,17.411969,52.970796
J101145.66+462837.5,152.9402526,46.4771003,17.144,0.152,7.1,8.959E-01,16.948,0.451,2.4,8.189E-01,12.872,null,0.2,9.829E-01,9.411,null,-1.2,8.295E-01,1,16,0,16,0,16,0,16,null,null,null,null,null,null,null,18.000650,8.096315
J101146.83+462805.9,152.9451630,46.4683284,17.348,0.192,5.7,6.709E-01,17.156,null,-1.1,1.055E+00,12.927,null,-0.2,9.342E-01,9.225,null,0.2,9.530E-01,0,15,0,15,0,15,0,16,null,null,null,null,null,null,null,20.141192,133.081113
J101143.71+462837.5,152.9321266,46.4770983,16.099,0.068,16.0,7.702E-01,16.237,0.232,4.7,9.955E-01,12.722,null,0.5,9.656E-01,9.158,null,0.5,1.021E+00,13,16,1,16,0,16,0,16,549069934,16.459,0.114,16.019,0.148,15.927,0.275,25.049727,315.330736
J101148.64+462832.1,152.9527057,46.4756010,16.917,0.126,8.6,9.099E-01,17.024,0.473,2.3,9.832E-01,12.200,null,1.9,1.115E+00,8.870,null,1.1,9.270E-01,4,16,0,16,1,16,0,16,null,null,null,null,null,null,null,35.644954,69.597246
J101146.72+462855.8,152.9446995,46.4821761,16.218,0.074,14.7,9.113E-01,15.983,0.190,5.7,1.025E+00,12.923,null,-1.6,8.241E-01,9.144,null,0.5,9.676E-01,11,15,3,15,0,15,0,15,null,null,null,null,null,null,null,38.557017,20.587868
J101146.57+462743.0,152.9440551,46.4619467,17.288,0.173,6.3,8.319E-01,16.634,null,1.2,8.221E-01,12.671,null,0.6,9.735E-01,9.288,0.524,2.1,1.072E+00,1,15,0,15,0,15,1,15,null,null,null,null,null,null,null,38.631083,161.956922
J101142.82+462848.1,152.9284321,46.4800344,17.531,0.214,5.1,8.766E-01,16.789,null,0.9,9.807E-01,12.339,null,1.6,8.929E-01,9.212,null,0.4,9.408E-01,3,16,0,16,1,16,0,16,null,null,null,null,null,null,null,39.016354,316.680180
J101148.24+462847.0,152.9510137,46.4797336,15.881,0.059,18.4,1.105E+00,15.623,0.143,7.6,9.438E-01,12.871,null,-0.9,9.981E-01,8.724,null,1.4,8.822E-01,13,15,3,15,0,15,0,15,549069942,16.905,0.160,16.054,0.156,15.799,0.244,39.984918,46.934290
J101141.90+462842.7,152.9245979,46.4785390,17.060,0.142,7.7,1.041E+00,16.533,0.298,3.6,9.688E-01,12.611,0.389,2.8,1.067E+00,9.316,0.519,2.1,9.432E-01,3,16,0,16,0,16,0,16,null,null,null,null,null,null,null,42.953127,302.381667
J101148.37+462747.9,152.9515610,46.4633092,16.977,0.138,7.9,8.614E-01,16.702,null,0.9,8.674E-01,12.896,null,-2.1,9.839E-01,9.339,null,-0.3,9.925E-01,3,14,0,14,0,14,0,14,null,null,null,null,null,null,null,44.133710,136.144546
J101147.70+462903.0,152.9487536,46.4841822,16.303,0.078,13.9,8.858E-01,16.105,0.215,5.0,9.141E-01,12.342,null,1.3,9.567E-01,9.362,null,-1.2,9.631E-01,11,15,1,15,0,15,0,15,null,null,null,null,null,null,null,49.332498,28.589489
J101149.34+462743.0,152.9555991,46.4619684,17.310,0.181,6.0,8.161E-01,16.336,null,1.9,8.262E-01,12.395,null,1.2,9.769E-01,8.791,null,1.2,1.057E+00,1,14,0,14,0,14,0,14,null,null,null,null,null,null,null,54.689147,132.077960
J101140.58+462849.1,152.9191195,46.4803311,15.985,0.061,17.9,8.528E-01,15.781,0.157,6.9,9.836E-01,12.975,null,-0.4,9.735E-01,9.373,null,-0.5,8.392E-01,15,16,2,16,0,16,0,16,null,null,null,null,null,null,null,57.906532,300.578790
J101149.77+462901.2,152.9574054,46.4836763,13.420,0.025,42.8,4.197E+00,13.066,0.028,38.1,1.407E+00,9.865,0.041,26.4,1.131E+00,8.049,0.173,6.3,9.647E-01,15,15,15,15,15,15,2,15,549069951,15.354,0.068,14.625,0.077,14.286,0.086,61.254110,47.351116
J101151.35+462836.5,152.9639820,46.4768099,16.046,0.068,15.9,7.394E-01,15.883,0.181,6.0,9.771E-01,12.540,0.412,2.6,9.983E-01,9.319,null,-0.8,1.055E+00,13,14,2,14,0,14,0,14,null,null,null,null,null,null,null,63.617755,74.701655
J101151.25+462756.6,152.9635749,46.4657358,17.246,0.169,6.4,7.134E-01,16.540,0.340,3.2,7.717E-01,12.912,null,0.0,8.491E-01,9.267,null,-0.2,1.004E+00,1,15,0,15,0,15,0,15,null,null,null,null,null,null,null,64.628718,110.924917
J101148.03+462720.9,152.9501291,46.4558268,14.966,0.037,29.1,7.920E-01,14.863,0.078,13.9,8.704E-01,12.816,null,0.2,1.004E+00,8.854,null,1.1,9.778E-01,15,15,12,15,0,15,0,15,null,null,null,null,null,null,null,64.680532,155.297267
J101146.53+462714.9,152.9438922,46.4541441,17.137,0.156,6.9,8.769E-01,17.090,0.528,2.1,9.268E-01,12.933,null,-1.0,1.052E+00,9.201,null,0.2,1.034E+00,3,15,0,15,1,15,0,15,null,null,null,null,null,null,null,65.843993,169.885721
J101138.83+462819.1,152.9117997,46.4719875,16.683,0.107,10.2,9.389E-01,16.261,0.246,4.4,9.101E-01,12.420,null,1.2,8.856E-01,9.397,null,-0.6,9.547E-01,6,15,0,15,0,15,0,15,null,null,null,null,null,null,null,68.011865,269.517111
J101152.35+462804.6,152.9681485,46.4679665,16.431,0.089,12.2,7.588E-01,16.273,0.254,4.3,9.170E-01,12.909,null,0.0,1.117E+00,9.316,null,-0.3,9.549E-01,7,15,2,15,0,15,0,15,null,null,null,null,null,null,null,73.266223,101.851776
