obj_id	log_flux_W1	log_flux_W2	log_flux_W3	log_flux_W4
1	-3.5952832217430495	-3.759485554126211	-3.4356422455289626	-2.649637903215211
3	-4.511283221743048	-4.61228555412621	-3.484842245528963	-2.4856379032152094
6	-4.312483221743047	-4.4686855541262105	-3.560842245528963	-2.59443790321521
7	-4.108483221743049	-3.823885554126209	-3.2632422455289625	-2.6112379032152098
9	-3.794883221743048	-4.0738855541262105	-3.597642245528961	-2.78243790321521
12	-4.447683221743048	-4.595885554126212	-3.426842245528963	-2.7968379032152098
13	-3.595283221743048	-3.7594855541262087	-3.435642245528962	-2.64963790321521
14	-4.462883221743047	-4.49868555412621	-3.533242245528963	-2.830837903215209
15	-4.447683221743047	-4.59588555412621	-3.426842245528963	-2.7968379032152093
16	-4.514883221743047	-4.41868555412621	-3.6816422455289617	-2.82723790321521
20	-4.179683221743046	-4.09788555412621	-3.4724422455289625	-2.74403790321521
30	-4.177683221743048	-4.347085554126209	-3.5184422455289623	-2.7932379032152097
